iter	Passed	Remaining
0	56	56509
1	57	28758
2	58	19515
3	59	14846
4	60	12073
5	61	10249
6	63	8966
7	64	7996
8	65	7209
9	66	6573
10	67	6052
11	68	5623
12	69	5263
13	70	4949
14	71	4681
15	72	4451
16	73	4249
17	74	4075
18	75	3905
19	76	3756
20	77	3616
21	78	3498
22	79	3383
23	80	3283
24	81	3182
25	82	3089
26	83	3003
27	84	2922
28	85	2849
29	86	2786
30	87	2723
31	88	2667
32	89	2609
33	89	2556
34	91	2510
35	91	2463
36	92	2419
37	93	2379
38	95	2343
39	96	2304
40	97	2269
41	97	2234
42	98	2200
43	99	2166
44	100	2135
45	101	2106
46	103	2088
47	103	2060
48	104	2033
49	105	2007
50	106	1982
51	107	1957
52	108	1935
53	109	1914
54	110	1897
55	111	1878
56	112	1859
57	113	1841
58	114	1823
59	115	1808
60	116	1790
61	117	1774
62	118	1762
63	120	1757
64	121	1750
65	122	1737
66	123	1726
67	125	1713
68	126	1701
69	127	1690
70	128	1684
71	129	1673
72	130	1662
73	132	1662
74	133	1650
75	134	1641
76	136	1631
77	137	1620
78	138	1616
79	140	1611
80	141	1600
81	142	1589
82	143	1581
83	144	1577
84	173	1866
85	186	1976
86	187	1962
87	188	1949
88	188	1934
89	190	1924
90	191	1912
91	193	1910
92	197	1926
93	200	1936
94	202	1927
95	203	1916
96	204	1903
97	205	1891
98	206	1880
99	207	1869
100	208	1858
101	209	1845
102	210	1834
103	211	1822
104	212	1811
105	213	1800
106	214	1788
107	215	1777
108	216	1766
109	217	1757
110	218	1748
111	219	1739
112	220	1731
113	221	1721
114	223	1716
115	223	1706
116	224	1697
117	226	1689
118	226	1680
119	227	1671
120	228	1662
121	229	1653
122	230	1644
123	231	1635
124	232	1627
125	233	1620
126	234	1613
127	235	1606
128	236	1597
129	237	1589
130	238	1581
131	239	1573
132	240	1565
133	241	1557
134	242	1551
135	243	1544
136	244	1539
137	245	1532
138	246	1525
139	247	1517
140	247	1510
141	248	1504
142	250	1498
143	251	1492
144	252	1486
145	253	1480
146	253	1473
147	254	1467
148	255	1461
149	256	1454
150	257	1448
151	258	1442
152	259	1437
153	260	1432
154	261	1426
155	262	1420
156	263	1415
157	264	1410
158	265	1405
159	266	1399
160	267	1394
161	268	1389
162	269	1384
163	270	1379
164	271	1373
165	272	1369
166	273	1364
167	274	1359
168	275	1354
169	276	1349
170	277	1344
171	278	1338
172	279	1334
173	280	1329
174	280	1324
175	281	1319
176	282	1314
177	283	1310
178	284	1305
179	285	1300
180	286	1296
181	287	1291
182	288	1286
183	289	1282
184	290	1277
185	291	1274
186	292	1270
187	293	1266
188	294	1262
189	295	1258
190	296	1253
191	296	1249
